fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long
48333,Mills County,Texas,TX,2329,2573,50.6,4902,52.48878009,31.4951895,-98.59544037
48335,Mitchell County,Texas,TX,5383,3175,34.1,8558,37.09978967,32.30620153,-100.9211385
48337,Montague County,Texas,TX,9403,10006,43.4,19409,51.55340306,33.6756831,-97.72463972
48339,Montgomery County,Texas,TX,274604,279841,36.9,554445,50.47227408,30.300193,-95.50300218
48341,Moore County,Texas,TX,11438,10363,30.2,21801,47.53451677,35.83771455,-101.8929871
48343,Morris County,Texas,TX,5981,6443,43,12424,51.85930457,33.11346808,-94.73263732
48345,Motley County,Texas,TX,580,576,38.3,1156,49.82698962,34.07406325,-100.7798138
48347,Nacogdoches County,Texas,TX,31365,34193,30.6,65558,52.15686873,31.61598401,-94.61586668
48349,Navarro County,Texas,TX,23845,24738,38.6,48583,50.91904576,32.04692633,-96.47247526
48351,Newton County,Texas,TX,7233,6824,44.3,14057,48.54520879,30.78625387,-93.74479548
48353,Nolan County,Texas,TX,7669,7297,38.5,14966,48.75718295,32.30352363,-100.4059875
48355,Nueces County,Texas,TX,178020,182466,35.3,360486,50.6166675,27.72553964,-97.61304231
48357,Ochiltree County,Texas,TX,5230,5118,31.6,10348,49.45883262,36.27835758,-100.8156689
48359,Oldham County,Texas,TX,1145,945,29.8,2090,45.215311,35.40504562,-102.6027667
48361,Orange County,Texas,TX,41630,42417,37.8,84047,50.46819042,30.1213047,-93.89388801
48363,Palo Pinto County,Texas,TX,13987,14330,40.5,28317,50.60564325,32.75315273,-98.31301535
48365,Panola County,Texas,TX,11498,11942,39.3,23440,50.94709898,32.16235499,-94.30558828
48367,Parker County,Texas,TX,64448,65354,39.7,129802,50.34899308,32.77765374,-97.80506519
48369,Parmer County,Texas,TX,5059,4793,33.9,9852,48.6500203,34.53007351,-102.7844736
